host_response_rate,host_acceptance_rate,host_neighbourhood,host_total_listings_count,host_has_profile_pic,host_identity_verified,host_is_superhost
N/A,N/A,Lakeview,1.00,t,t,f
0.00,N/A,Loop,3.00,t,t,f
0.00,N/A,Loop,3.00,t,t,f
0.00,N/A,Loop,3.00,t,t,f
1.00,0.92,Wrigleyville,2.00,t,f,f
1.00,0.91,River West,24.00,t,t,t
0.80,0.23,Lakeview,3.00,t,t,f
N/A,N/A,Irving Park,2.00,t,t,f
0.99,0.74,Shaw,68.00,t,f,f
0.99,0.74,Shaw,68.00,t,f,f
N/A,N/A,Pilsen,0.00,t,t,t
1.00,0.80,Gold Coast,0.00,t,t,f
0.93,0.64,Near West Side,3.00,t,f,f
1.00,0.94,Old Town,3.00,t,t,t
1.00,0.71,Wicker Park,3.00,t,t,f
1.00,0.77,West Town,3.00,t,t,t
1.00,1.00,Logan Square,4.00,t,t,t
0.50,N/A,Wicker Park,1.00,t,t,f
0.00,N/A,McKinley Park,1.00,t,f,f
0.84,0.28,River West,3.00,t,t,f
1.00,1.00,Logan Square,4.00,t,t,t
,,,,,,
0.99,0.74,Shaw,68.00,t,f,f
0.99,0.74,Shaw,68.00,t,f,f
1.00,1.00,Chinatown,21.00,t,t,t
1.00,0.50,Lake View East,1.00,t,t,f
1.00,0.97,Gold Coast,0.00,t,f,t
0.99,0.74,Shaw,68.00,t,f,f
1.00,1.00,Lakeview,1.00,t,t,f
0.99,0.74,Shaw,68.00,t,f,f
0.99,0.74,Shaw,68.00,t,f,f
N/A,N/A,,2.00,t,t,f
N/A,N/A,Englewood,1.00,t,f,f
N/A,0.00,Irving Park,0.00,t,t,f
N/A,N/A,River North,1.00,t,f,f
0.81,0.90,West Town/Noble Square,2.00,t,t,f
1.00,0.86,West Town,0.00,t,t,f
N/A,1.00,,2.00,t,f,f
1.00,0.77,West Town,3.00,t,t,t
1.00,1.00,Logan Square,4.00,t,t,t
0.99,0.74,Shaw,68.00,t,f,f
1.00,0.82,Garfield Park,10.00,t,t,t
1.00,0.93,West Town,1.00,t,t,t
1.00,0.83,Avondale,5.00,t,f,f
1.00,1.00,Uptown,2.00,t,t,t
0.86,0.82,Logan Square,10.00,t,t,f
1.00,0.75,Chicago Loop,0.00,t,t,f
N/A,N/A,Pulaski Park,0.00,t,t,f
1.00,1.00,Lake View East,0.00,t,t,t
1.00,0.75,Chicago Loop,0.00,t,t,f
0.95,0.78,West Town/Noble Square,3.00,t,t,f
1.00,1.00,Old Town,4.00,t,t,f
1.00,0.93,Lakeview,7.00,t,t,t
1.00,0.99,Old Town,4.00,t,t,t
1.00,0.92,River North,35.00,t,t,f
0.00,N/A,Logan Square,1.00,t,t,f
0.90,0.88,Near North Side,9.00,t,t,t
1.00,1.00,Bronzeville,6.00,t,t,f
1.00,0.82,Fulton Market,15.00,t,t,t
1.00,1.00,Lakeview,0.00,t,f,t
1.00,0.82,Garfield Park,10.00,t,t,t
0.10,0.65,Lincoln Park,1.00,t,f,f
1.00,0.82,Fulton Market,15.00,t,t,t
1.00,N/A,Logan Square,2.00,t,t,f
0.99,0.76,Hyde Park,24.00,t,t,f
0.99,0.76,Hyde Park,24.00,t,t,f
0.99,0.80,Lakeview,89.00,t,t,f
1.00,0.88,Humboldt Park,3.00,t,t,t
1.00,N/A,Rush & Division,1.00,t,t,f
1.00,0.92,River North,35.00,t,t,f
1.00,1.00,Lakeview,0.00,t,f,t
0.84,0.28,River West,3.00,t,t,f
1.00,0.71,Bronzeville,1.00,t,t,f
0.83,0.50,,1.00,t,f,t
0.00,N/A,,1.00,t,t,f
1.00,1.00,Lakeview,1.00,t,t,f
N/A,1.00,Little Italy/UIC,1.00,t,t,f
1.00,0.77,Streeterville,5.00,t,t,f
N/A,N/A,West Town/Noble Square,0.00,t,f,f
0.99,0.83,Avondale,12.00,t,t,t
N/A,N/A,,1.00,t,f,f
1.00,0.81,River North,1.00,t,t,f
1.00,1.00,Chicago Loop,8.00,t,t,f
0.94,1.00,Lake View East,3.00,t,t,f
0.99,0.80,Lakeview,89.00,t,t,f
1.00,0.81,Lake View East,95.00,t,t,f
1.00,1.00,West Town,1.00,t,t,f
1.00,1.00,Hyde Park,5.00,t,t,t
1.00,0.98,Irving Park,7.00,t,t,f
0.00,0.09,West Town/Noble Square,1.00,t,f,f
0.80,0.25,Near North Side,1.00,t,t,f
1.00,N/A,Bronzeville,1.00,t,t,f
1.00,0.97,Rogers Park,2.00,t,f,t
1.00,0.98,Uptown,1.00,t,t,t
1.00,1.00,Edgewater,1.00,t,t,f
N/A,N/A,Lakeview,2.00,t,t,t
N/A,N/A,West Town,0.00,t,f,f
1.00,0.90,Wicker Park,11.00,t,t,t
1.00,0.92,Logan Square,1.00,t,t,t
1.00,1.00,Lake View East,0.00,t,f,f
1.00,1.00,Irving Park,29.00,t,t,t
N/A,N/A,River North,4.00,t,t,t
1.00,0.86,Uptown,0.00,t,f,f
0.99,0.74,Shaw,68.00,t,f,f
1.00,0.89,Old Town,15.00,t,t,t
1.00,1.00,Lakeview,0.00,t,f,t
1.00,1.00,Lakeview,0.00,t,f,t
1.00,0.89,Old Town,15.00,t,t,t
0.99,0.74,Shaw,68.00,t,f,f
0.75,0.50,River North,6.00,t,t,f
0.94,0.94,Bucktown,5.00,t,t,t
N/A,N/A,Irving Park,2.00,t,t,f
1.00,0.97,River North,1.00,t,t,t
1.00,0.88,Humboldt Park,3.00,t,t,t
1.00,0.77,West Town,3.00,t,t,t
1.00,0.77,West Town,3.00,t,t,t
1.00,0.98,Loop,1.00,t,t,t
N/A,1.00,Lincoln Park,3.00,t,t,t
1.00,0.88,Lincoln Park,3.00,t,t,t
N/A,N/A,Oakland,0.00,t,f,f
N/A,N/A,West Loop/Greektown,0.00,t,t,f
0.95,0.90,South Shore,3.00,t,t,f
0.94,0.95,Old Town,6.00,t,t,f
1.00,1.00,West Town,4.00,t,t,f
1.00,0.88,West Loop/Greektown,5.00,t,t,f
1.00,1.00,West Loop/Greektown,5.00,t,t,t
1.00,1.00,West Town,5.00,t,t,t
1.00,0.75,Chicago Loop,0.00,t,t,f
1.00,0.75,Chicago Loop,0.00,t,t,f
1.00,0.75,Chicago Loop,0.00,t,t,f
1.00,0.89,Old Town,15.00,t,t,t
1.00,0.93,Wrigleyville,4.00,t,t,f
1.00,1.00,Near South Side,0.00,t,t,t
1.00,0.90,Loop,3.00,t,t,f
1.00,0.71,West Town,1.00,t,t,f
N/A,N/A,Edgewater,0.00,t,t,f
0.90,0.99,Loop,0.00,t,t,t
1.00,1.00,South Shore,2.00,t,t,t
1.00,0.82,Lakeview,3.00,t,t,t
1.00,0.75,Chicago Loop,0.00,t,t,f
0.90,0.76,River West,73.00,t,t,f
1.00,1.00,Lakeview,4.00,t,t,t
1.00,0.44,Lincoln Park,1.00,t,t,f
1.00,0.75,Avondale,0.00,t,f,f
1.00,1.00,Old Town,4.00,t,t,f
0.81,0.90,West Town/Noble Square,2.00,t,t,f
1.00,0.87,Lakeview,1.00,t,t,f
1.00,0.40,Lakeview,2.00,t,t,t
1.00,0.93,Avondale,0.00,t,t,t
1.00,0.75,Chicago Loop,0.00,t,t,f
N/A,N/A,,1.00,t,t,f
N/A,N/A,Wicker Park,4.00,t,t,f
1.00,0.77,Streeterville,5.00,t,t,f
1.00,0.89,Lakeview,9.00,t,t,f
0.99,0.74,Shaw,68.00,t,f,f
0.56,0.44,West Loop,0.00,t,f,f
1.00,0.75,Chicago Loop,0.00,t,t,f
1.00,0.99,Old Town,4.00,t,t,t
1.00,1.00,Logan Square,1.00,t,t,t
1.00,1.00,Lakeview,0.00,t,f,t
1.00,0.92,Loop,6.00,t,t,f
1.00,0.91,Chicago Loop,7.00,t,t,f
1.00,0.96,River North,1.00,t,t,t
1.00,0.86,North Center,4.00,t,t,t
1.00,0.95,Portage Park,0.00,t,t,f
0.90,0.88,West Town,0.00,t,t,f
0.00,0.09,West Town/Noble Square,1.00,t,f,f
N/A,N/A,,2.00,t,t,f
1.00,0.88,West Town/Noble Square,4.00,t,t,t
N/A,0.50,,1.00,t,t,f
N/A,N/A,,2.00,t,t,f
N/A,N/A,Lakeview,0.00,t,t,f
0.90,0.86,Logan Square,2.00,t,t,t
0.00,0.67,,2.00,t,t,f
0.91,0.99,Financial District,127.00,t,t,f
1.00,0.84,Old Town,1.00,t,t,f
1.00,1.00,Humboldt Park,1.00,t,t,t
1.00,0.86,Avondale,1.00,t,t,f
1.00,0.95,Lincoln Park,0.00,t,t,f
1.00,0.97,River North,0.00,t,t,t
1.00,0.97,Lakeview,2.00,t,t,f
