host_response_rate,bathrooms,bedrooms,price,review_scores_rating,host_verifications_identity_manual,host_verifications_selfie,host_verifications_jumio,host_verifications_reviews,host_verifications_phone,host_verifications_offline_government_id,host_verifications_email,host_verifications_government_id,Verification_Numbers
1,1,1,81,4.99,0,0,1,1,1,0,1,1,5
0,1,1,65,4.66,1,1,1,1,1,1,1,1,8
0.94,1,2,125,4.58,0,0,1,1,1,0,1,1,5
1,1,1,99,4.75,0,1,0,1,1,1,1,1,6
1,1,1,329,5,0,0,0,1,1,0,1,0,3
0,1,2,105,4.67,0,0,0,1,1,0,1,0,3
1,1,1,133,4.22,0,0,1,1,1,1,1,1,6
1,1,2,95,4.35,0,0,1,1,1,1,1,1,6
1,1,3,179,4.73,1,1,1,1,1,1,1,1,8
0,1,1,110,4.99,0,0,1,1,1,0,1,1,5
0,1,1,79,4.81,0,0,0,1,1,1,1,1,5
1,1,1,60,4.83,0,0,0,1,1,0,1,0,3
1,1,1,54,4.92,0,0,0,1,1,0,1,0,3
0,1,1,35,4.87,0,0,0,1,1,0,1,0,3
0.95,1,3,217,4.72,1,1,1,1,1,0,1,1,7
0.95,1,4,266,4.75,1,1,1,1,1,0,1,1,7
1,1,1,81,4.82,0,0,0,1,1,0,1,0,3
1,1,2,217,4.95,0,0,0,1,1,0,1,0,3
1,1,1,35,4.96,1,1,0,1,1,1,1,1,7
0,1,1,90,4.88,0,0,0,1,1,0,1,0,3
0,1,1,40,4.9,0,0,0,1,1,0,1,0,3
1,1,1,60,4.5,0,0,0,1,1,0,1,0,3
0,1,1,170,4.84,0,0,0,1,1,0,1,0,3
0,1,1,48,4.87,0,0,0,1,1,0,1,0,3
0.63,1,1,119,4.82,0,0,0,1,1,0,1,0,3
0,1,2,204,4.84,0,0,1,1,1,0,1,1,5
0,1,1,103,4.96,0,0,0,1,1,0,1,0,3
1,1,1,29,4.77,0,0,0,1,1,0,1,0,3
1,1,1,189,4.83,1,1,1,1,1,1,1,1,8
0,1,3,130,4.84,0,0,0,1,1,0,1,0,3
0,1,2,146,4.74,0,0,0,1,1,0,1,0,3
0,1,1,91,4.96,0,0,0,1,1,0,1,0,3
1,1,2,169,4.9,0,0,0,1,1,0,1,0,3
1,1,3,266,4.84,0,0,0,1,1,0,1,0,3
0.9,1,2,126,4.55,0,0,0,1,1,0,1,0,3
0,1,1,119,4.72,0,0,1,1,1,0,1,1,5
0,1,1,48,4.81,0,1,0,1,1,1,1,1,6
0,1,3,232,4.77,0,0,0,1,1,0,1,0,3
1,1,1,98,4.91,0,0,1,1,1,0,1,1,5
1,1,2,174,4.87,0,0,0,1,1,0,1,0,3
1,1,1,91,4.84,0,0,0,1,1,0,1,0,3
1,1,1,75,4.55,0,0,0,1,1,1,1,1,5
0.9,1,1,76,4.46,1,1,1,1,1,0,1,1,7
0.9,1,1,78,4.5,1,1,1,1,1,0,1,1,7
0,1,1,43,4.84,0,0,0,1,1,0,1,0,3
0.9,1,1,59,4.54,1,1,1,1,1,0,1,1,7
1,1,1,70,4.89,0,0,1,1,1,0,1,1,5
0,1,2,250,5,0,0,0,1,1,1,1,1,5
1,1,3,935,4.82,1,1,1,1,1,1,1,1,8
0.9,1,1,65,4.94,0,0,1,1,1,1,1,1,6
0.9,1,1,60,4.92,0,0,1,1,1,1,1,1,6
0.89,1,1,50,4.89,0,0,0,1,1,0,1,0,3
0,1,2,85,4.86,0,0,1,1,1,0,1,1,5
0.9,1,1,62,4.38,1,1,1,1,1,0,1,1,7
1,1,1,109,4.69,0,0,1,1,1,1,1,1,6
0.8,1,2,70,4.26,0,0,1,1,1,0,1,1,5
0,1,3,141,4.86,0,0,0,1,1,0,0,0,2
0.6,1,2,115,4.86,0,0,0,1,1,0,1,0,3
1,1,1,130,4.7,0,0,1,1,1,1,1,1,6
1,1,3,88,4.78,0,0,1,1,1,1,1,1,6
1,1,1,78,4.82,1,1,1,1,1,1,1,1,8
1,1,1,49,0,0,0,0,1,1,0,1,0,3
1,1,3,150,4.77,0,0,0,1,1,0,1,0,3
1,1,1,117,4.66,1,1,0,1,1,1,1,1,7
1,1,1,204,4.71,1,1,1,1,1,1,1,1,8
0.8,1,2,239,4.23,0,0,1,1,1,0,1,1,5
1,1,3,85,4.94,0,0,0,1,1,0,1,0,3
1,1,2,153,4.22,0,0,1,1,1,1,1,1,6
1,1,2,184,0,0,0,1,1,1,1,1,1,6
0,1,1,110,4.99,0,0,0,1,1,0,1,0,3
1,1,1,118,4.92,0,0,0,1,1,0,1,0,3
0,1,1,101,4.91,0,0,0,1,1,0,1,0,3
0,1,1,50,4.84,0,0,0,1,1,0,1,0,3
1,1,3,227,4.94,0,0,1,1,1,1,1,1,6
1,1,1,89,4.97,0,0,1,1,1,0,1,1,5
1,1,1,79,4.97,0,0,1,1,1,0,1,1,5
1,1,1,79,4.92,0,0,1,1,1,0,1,1,5
1,1,2,179,4.93,0,0,1,1,1,0,1,1,5
1,1,1,105,4.61,0,0,0,1,1,0,1,0,3
1,1,1,45,4.17,0,0,0,1,1,0,1,0,3
1,1,1,45,4.36,0,0,0,1,1,0,1,0,3
1,1,1,45,4,0,0,0,1,1,0,1,0,3
1,1,1,140,5,0,0,1,1,1,1,1,1,6
0,1,1,55,4.76,0,1,0,1,1,1,1,1,6
1,1,1,125,4.75,0,0,1,1,1,1,1,1,6
1,1,1,88,4.64,0,0,1,1,1,1,1,1,6
1,1,3,230,4.92,0,0,0,1,1,0,1,0,3
0.9,1,2,138,4.91,0,0,0,1,1,0,1,0,3
0.8,1,2,149,4.21,0,0,1,1,1,0,1,1,5
1,1,3,130,4.82,0,0,0,1,1,0,1,0,3
1,1,1,75,4.89,0,0,0,1,1,0,1,0,3
1,1,1,75,4.79,0,0,0,1,1,0,1,0,3
0.9,1,1,103,4.68,0,0,0,1,1,0,1,0,3
1,1,4,305,4.87,0,1,0,1,1,1,1,1,6
0.6,1,2,120,4.92,0,0,1,1,1,0,1,1,5
1,1,2,182,4.93,0,0,0,1,1,0,1,0,3
1,1,1,85,4.97,1,1,0,1,1,1,1,1,7
1,1,1,125,4.43,1,1,0,1,1,1,1,1,7
0,1,1,61,4.72,0,0,1,1,1,0,1,1,5
1,1,3,175,4.61,0,0,1,1,1,1,1,1,6
1,1,1,20,4.57,1,1,0,1,1,1,1,1,7
1,1,1,20,4.79,1,1,0,1,1,1,1,1,7
1,1,1,85,5,0,0,0,1,1,0,1,0,3
0.94,1,2,158,4.79,0,0,1,1,1,0,1,1,5
0.94,1,4,279,4.4,0,0,1,1,1,0,1,1,5
1,1,1,165,4.71,0,0,1,1,1,1,1,1,6
0,1,1,55,4.67,0,0,1,1,1,1,1,1,6
1,1,1,65,4.86,0,0,0,1,1,1,1,1,5
1,1,1,39,4.9,1,1,1,1,1,1,1,1,8
1,1,3,199,4.92,0,0,0,1,1,0,1,0,3
1,1,1,149,4.93,0,0,0,1,1,0,1,0,3
1,1,1,125,4.84,0,0,0,1,1,0,1,0,3
1,1,1,64,4.92,0,0,0,1,1,0,1,0,3
1,1,1,73,4.54,0,0,1,1,1,0,1,1,5
1,1,2,103,5,0,0,0,1,1,0,1,0,3
1,1,1,70,4.78,0,0,0,1,1,0,1,0,3
1,1,2,45,4.78,0,0,0,1,1,0,1,0,3
1,1,2,90,4.7,0,0,0,1,1,0,1,0,3
