id,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_verifications_identity_manual,host_verifications_selfie,host_verifications_jumio,host_verifications_reviews,host_verifications_phone,host_verifications_offline_government_id,host_verifications_email,host_verifications_government_id,amenities_Dryer,amenities_Shampoo,amenities_Bed_linens,amenities_Hot_water,amenities_Microwave,amenities_Dedicated_workspace,amenities_Washer,amenities_Hair_dryer,amenities_Carbon_monoxide_alarm,amenities_Air_conditioning,amenities_Long_term_stays_allowed,amenities_Free_parking_on_premises,amenities_Fire_extinguisher,amenities_Wifi,amenities_Stove,amenities_Free_street_parking,amenities_Essentials,amenities_Bathtub,amenities_First_aid_kit,amenities_Coffee_maker,amenities_Extra_pillows_and_blankets,amenities_Hangers,amenities_Oven,amenities_Refrigerator,amenities_Heating,amenities_Cooking_basics,amenities_Iron,amenities_TV,amenities_Dishwasher,amenities_Smoke_alarm,amenities_Dishes_and_silverware,amenities_Kitchen,amenities_Private_entrance,bathrooms_type,distance_to_CBD,host_in_same_neighbourhood,host_year,description_words_count,occu_rate_oct,occu_rate_nov,occu_rate_dec,occu_rate_jan,occu_rate_feb,occu_rate_mar,occu_rate_apr,occu_rate_may,occu_rate_jun,occu_rate_jul,occu_rate_aug,occu_rate_sep,occu_rate_q1,occu_rate_q2,occu_rate_q3,occu_rate_q4,occu_rate_year
2384,2613,within an hour,1.0,0.83,0,1.0,0,Hyde Park,41.7879,-87.5878,Private room in condominium (condo),Private room,1,1,1.0,1.0,81.0,3,30,3,3,1125,1125,3.0,1125.0,0,19,40,55,329,2021-10-19,190,10,2,30_days,4.99,4.98,4.99,4.98,4.98,4.95,4.94,1,1,0,1,0,2.41,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,shared,10.3476,1,13,1000,0.2903225806451613,0.4,0.41935483870967744,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.3695652173913043,0.09863013698630137
7126,17928,None,0.0,0.0,0,2.0,0,West Town,41.90166,-87.68021,Entire rental unit,Entire home/apt,2,1,1.0,1.0,65.0,2,60,2,2,1125,1125,2.0,1125.0,0,5,22,48,230,2021-10-18,414,29,6,30_days,4.66,4.83,4.53,4.89,4.86,4.87,4.72,1,1,1,0,0,3.34,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,private,3.8288,0,12,1000,0.45161290322580644,0.6333333333333333,0.2903225806451613,0.0,0.0,0.0967741935483871,0.06666666666666667,1.0,1.0,0.8709677419354839,0.0,0.0,0.03333333333333333,0.6923076923076923,0.29347826086956524,0.45652173913043476,0.3698630136986301
10945,33004,within an hour,0.94,0.92,0,7.0,0,Lincoln Park,41.91196,-87.63981,Entire rental unit,Entire home/apt,4,1,2.0,2.0,125.0,4,180,4,4,180,180,4.0,180.0,0,12,33,54,144,2021-10-18,36,16,3,30_days,4.58,4.67,4.72,4.75,4.72,4.97,4.56,1,7,7,0,0,0.4,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,private,3.8049,0,12,1000,0.8709677419354839,0.5666666666666667,0.25806451612903225,0.03225806451612903,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.011111111111111112,0.8351648351648352,1.0,0.5652173913043478,0.6054794520547945
12068,40731,within an hour,1.0,0.93,0,3.0,0,Near North Side,41.90491,-87.63213,Entire condominium (condo),Entire home/apt,2,1,1.0,1.0,99.0,7,180,7,7,180,180,7.0,180.0,0,0,0,0,0,2021-10-19,13,4,1,30_days,4.75,4.75,4.75,4.67,4.75,4.75,4.75,1,1,1,0,0,0.16,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,private,2.9839,0,12,1000,0.4375,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45161290322580644,0.11475409836065574
12140,46734,within an hour,1.0,1.0,0,1.0,0,Lincoln Park,41.92357,-87.64947,Room in boutique hotel,Private room,2,1,1.0,2.0,329.0,2,7,2,2,7,7,2.0,7.0,0,20,48,78,167,2021-10-19,7,3,0,30_days,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,1,0,0.09,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,private,5.1676,1,12,1000,0.7419354838709677,0.23333333333333334,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.8351648351648352,1.0,0.32608695652173914,0.5424657534246575
22362,85811,None,0.0,0.0,0,2.0,0,West Town,41.8973,-87.65889,Entire rental unit,Entire home/apt,4,1,2.0,2.0,105.0,121,1125,121,121,1125,1125,121.0,1125.0,0,30,60,90,365,2021-10-18,9,0,0,30_days,4.67,4.78,4.78,5.0,5.0,4.89,4.89,1,2,2,0,0,0.1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,private,2.6785,0,11,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24833,101521,within a few hours,1.0,0.81,0,8.0,0,Lincoln Park,41.925961,-87.656364,Entire rental unit,Entire home/apt,3,1,1.0,1.0,133.0,32,395,32,50,395,395,32.2,395.0,0,29,59,89,364,2021-10-18,38,1,0,30_days,4.22,4.0,3.92,4.12,3.88,4.88,4.12,1,4,4,0,0,0.33,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,private,5.513,1,11,1000,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0027397260273972603
25879,101521,within a few hours,1.0,0.81,0,8.0,0,Lincoln Park,41.92499,-87.65573,Entire rental unit,Entire home/apt,6,1,2.0,0.0,95.0,32,300,32,32,1125,1125,32.0,1125.0,0,0,0,26,301,2021-10-19,48,1,1,30_days,4.35,4.59,4.32,4.14,4.17,4.91,4.38,1,4,4,0,0,1.42,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,private,5.4001,1,11,1000,0.41935483870967744,1.0,0.6774193548387096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6956521739130435,0.17534246575342466
28749,27506,within a day,1.0,0.72,0,3.0,0,Logan Square,41.92138,-87.67931,Entire loft,Entire home/apt,6,1,3.0,3.0,179.0,2,10,2,2,10,10,2.0,10.0,0,14,36,64,322,2021-10-18,115,54,5,30_days,4.73,4.81,4.69,4.88,4.85,4.87,4.66,1,1,1,0,0,0.91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,private,5.5149,0,12,1000,0.9032258064516129,0.43333333333333335,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.45652173913043476,0.1178082191780822
37738,162364,None,0.0,0.0,0,2.0,0,Uptown,41.97303,-87.66567,Private room in residential home,Private room,2,1,1.0,1.0,110.0,3,1125,3,3,1125,1125,3.0,1125.0,0,0,0,15,105,2021-10-18,250,0,0,30_days,4.99,4.99,5.0,4.99,4.98,4.92,4.98,1,2,1,1,0,2.01,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,shared,10.7172,0,11,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.8351648351648352,1.0,1.0,0.7123287671232876
